Pais,Alimentos y Bienes de Consumo,Combustibles,Bs Capital y Eq Transporte,Servicios
AFG,0.263417141,0.015143603,0,0.561112985
ALB,0.205063818,0.041810141,0.014504183,0.505530714
ATG,0.438245802,0.011037168,0.35155603,0
ARG,0.319079542,0.027268256,0.112044424,0.196830582
ARM,0.164574629,0.030888277,0.012032132,0.504127272
ABW,0.028001825,7.83E-05,0.003523283,0.963364196
AUS,0.14148959,0.200004064,0.060076438,0.20943325
AUT,0.134270552,0.01460385,0.299638021,0.286403758
AZE,0.048851235,0.626721499,0.004360989,0.278574612
BHS,0.027831202,0.02211483,0.035347933,0.860742685
BGD,0.922325779,0.005659968,0.013409358,0.000138138
BLR,0.169741505,0.228514001,0.106908209,0.199524605
BEL,0.200907138,0.066439284,0.180886674,0.215701496
BLZ,0.253962489,0.033117132,0.008995753,0.612342437
BEN,0.134310047,0.023082197,0.07657406,0.36234607
BMU,0.003630992,5.54E-06,0.002144764,0.99341911
BOL,0.101918406,0.408241245,0.000637851,0.116353129
BIH,0.229848469,0.057734206,0.111017376,0.187203527
BWA,0.023804519,0.003032852,0.035060939,0.177515402
BRA,0.278682363,0.060159408,0.147507282,0.148483966
BRN,0.003655176,0.844693695,0.031837037,0.091529336
BGR,0.229077813,0.071962753,0.160407256,0.225469256
BDI,0.459192955,0.002557491,0.021710008,0.334866113
KHM,0.581208172,1.46E-06,0.050691628,0.316450196
CAN,0.130743872,0.156714676,0.258430972,0.163525673
CHL,0.218165274,0.006054062,0.032678318,0.133681192
CHN,0.255994593,0.010400543,0.416353136,0.103510369
HKG,0.1258962,0.001362281,0.512991553,0.169281296
MAC,0.013093634,1.57E-06,0.006705773,0.961411266
COL,0.221950361,0.440170308,0.034473369,0.166259552
CRI,0.311185499,0.000298864,0.097134264,0.428720096
HRV,0.151179051,0.057792261,0.124719131,0.482250757
CYP,0.064528224,0.028879945,0.041077541,0.826065753
CZE,0.142165037,0.025999517,0.50320008,0.114868261
DNK,0.197149221,0.029006438,0.170825818,0.400389682
DOM,0.253065829,0.002182774,0.10091254,0.47055344
ECU,0.450924316,0.321673115,0.019321682,0.113675666
EGY,0.213388401,0.093192295,0.015284694,0.457674937
SLV,0.52905282,0.014649293,0.044499839,0.241184371
EST,0.149547499,0.073026692,0.236889763,0.291109615
FJI,0.222282027,0.092314883,0.020350497,0.580396603
FIN,0.042752087,0.048892136,0.251393671,0.27878327
FRA,0.204093978,0.020837115,0.289769148,0.30935338
GEO,0.161306365,0.025617778,0.05866752,0.586986467
DEU,0.13870633,0.018852059,0.437609552,0.154793622
GRC,0.147089654,0.138298459,0.048089947,0.521448279
GTM,0.513782297,0.032111156,0.026136201,0.208632232
GUY,0.354591687,0.000263129,0.133964282,0.100004165
HUN,0.164891373,0.018247672,0.455507621,0.174057183
ISL,0.211566912,0.007891294,0.022836488,0.50597428
IND,0.199320178,0.072496544,0.108059461,0.373409702
IDN,0.314402885,0.196119498,0.11253599,0.12638836
IRQ,6.56E-05,0.90301833,0,0.096712199
IRL,0.16211121,0.00319732,0.08039938,0.532963546
ISR,0.093445246,0.004921376,0.218675677,0.35726398
ITA,0.243859724,0.025768163,0.308529317,0.173423237
JAM,0.054371444,0.044773831,0.007087088,0.707830449
JPN,0.034402828,0.013540952,0.494135778,0.213347384
JOR,0.276938565,0.000756616,0.053909072,0.444902145
KAZ,0.041967224,0.594642093,0.012452274,0.120928229
KWT,0.014931788,0.734119704,0.022480763,0.176116079
KGZ,0.097154217,0.032938564,0.081620166,0.369121858
LAO,0.145895969,0.117923709,0.272418194,0.177080021
LVA,0.22569272,0.050124895,0.163982346,0.27250502
LTU,0.272671923,0.133279519,0.151552599,0.199971412
LUX,0.019800879,0.000567013,0.032906988,0.884431915
MDG,0.507782352,0.029705639,0.016805516,0
MWI,0.278631139,0.000168526,0.056047679,0.097162869
MYS,0.171175207,0.130796473,0.358005011,0.137944818
MDV,0.046068508,0,0.000127676,0.952660034
MLT,0.054195204,0.102665326,0.079635359,0.728129521
MUS,0.316967748,0.001176317,0.073103573,0.528128868
MEX,0.168421061,0.056081066,0.554723378,0.05607336
MNG,0.018579388,0.177156983,0.013575957,0.129021991
MNE,0.044976858,0.03168349,0.018687245,0.791673594
MAR,0.224160561,0.0089843,0.161098842,0.374275148
MOZ,0.093849123,0.246896945,0.026554099,0.184403047
MMR,0.273727702,0.317167773,0.003541594,0.226265249
NAM,0.191948598,0.023483634,0.06681752,0.161281795
NPL,0.160474514,2.37E-06,0.002914044,0.684223348
NLD,0.200177792,0.094706573,0.214515644,0.27588396
NCL,0.019317986,0.000181134,0.029424101,0
NZL,0.427147863,0.01286185,0.061432105,0.295127733
NIC,0.640882501,0.00199038,0.106462015,0.154059031
NER,0.14767082,0.186956778,0.070683043,0
NOR,0.077439864,0.415292435,0.094169812,0.279235876
OMN,0.049176118,0.558960322,0.012734717,0.098374083
PAK,0.505287867,0.009500655,0.024983479,0.206710349
PAN,0.268233026,5.36E-05,0.062302702,0.56156904
PRY,0.43094457,0.230864438,0.022314631,0.093499653
PER,0.186497005,0.060938697,0.01363801,0.157741605
PHL,0.13482306,0.014058702,0.660416549,0
POL,0.274364914,0.027520835,0.297907031,0.172743421
PRT,0.20567063,0.048842421,0.189870932,0.329550496
QAT,0.003900504,0.657512318,0.021915512,0.161313235
KOR,0.041070381,0.049342824,0.530912557,0.163720321
MDA,0.462563058,0.003623597,0.06822794,0.293822249
ROU,0.190120437,0.035204555,0.35292565,0.200466785
RUS,0.04677715,0.547679946,0.050791249,0.124985591
RWA,0.200946416,0.06697093,0.035683755,0.552329201
WSM,0.094271873,0.054508336,0.062339171,0.784438146
STP,0.100694053,0,0.001950176,0.895172497
SAU,0.028677988,0.700357529,0.031117699,0.067019284
SEN,0.34355432,0.136478666,0.036672541,0
SRB,0.230090582,0.018090253,0.228595079,0.261641208
SYC,0.142180402,4.22E-05,0.009823434,0.73242817
SGP,0.07766772,0.088493541,0.389229399,0.277647407
SVK,0.185845637,0.033597613,0.503782362,0.082508058
SVN,0.189289125,0.043546118,0.303904982,0.19572926
SLB,0.110914775,1.45E-05,0.011936785,0.208111671
ZAF,0.124352159,0.091651718,0.192685702,0.177201719
ESP,0.209824426,0.032225357,0.244485936,0.298557551
LKA,0.451870511,0.011291214,0.070353788,0.379930733
PSE,0.247422477,0.002434938,0.032516126,0.468189868
SDN,0.221863686,0.409704658,0.000345427,0.237094928
SWE,0.114566252,0.03787649,0.251920859,0.362868948
CHE,0.227900943,0.007253364,0.12071424,0.27907566
MKD,0.212386191,0.009321036,0.188745881,0.209372764
THA,0.196335813,0.02630771,0.343575529,0.224600162
TGO,0.210823712,0.008079329,0.037118968,0.407021946
TTO,0.040292952,0.385503797,0.071428093,0.109341392
TUN,0.32699997,0.058196655,0.205246765,0.193624773
TUR,0.272126978,0.02191137,0.186510034,0.245071934
UGA,0.275375297,0.033357392,0.042839057,0.489860242
UKR,0.263282307,0.009865326,0.097276809,0.181702443
ARE,0.069509356,0.145291982,0.076835338,0.075513098
GBR,0.127764597,0.040282356,0.220649599,0.425038212
TZA,0.277716308,0.01078021,0.007502984,0.390349034
URY,0.459237606,0.002126711,0.034850781,0.281358134
USA,0.105455411,0.045334182,0.259328529,0.326202873
VNM,0.400393641,0.029018037,0.339368929,0.06492879
YEM,0.336815316,0.001062184,0.164767467,0.456606179
ZMB,0.043463365,0.013898423,0.02468547,0.109820957
ZWE,0.083103487,0.013507339,0.013299091,0.125107742
